depth,rop,wob,temp_out,rpm,gpm
409.06,143.82,15.48,105.5,79.64,856.6
410.08,106,10.75,105.31,78.75,859.26
411.12,128.95,16.17,105.15,81.93,866.24
412.14,90.96,2.75,105.15,52,908.94
413.18,12.75,11.82,106.07,70.52,939.07
414.2,66.76,13.65,106.3,82.99,938.05
415.24,81.39,16.7,106.45,80.83,904.74
416.26,88.74,4.04,105.72,77.08,889.78
417.3,129.1,12.75,106.03,76.4,886.92
418.34,155.52,13.27,106.33,78.14,892.64
419.4,131.58,17.68,106.83,73.17,888.97
420.44,149.76,10.12,107.1,82.96,888.15
421.48,170.18,10.54,107.21,78.78,892.45
422.52,55.87,10.75,107.48,76.74,894.29
423.54,65.79,4.72,107.33,81.99,894.49
424.6,146.76,2.2,107.36,81.93,893.07
425.62,141.23,6.3,107.4,80.86,894.29
426.64,136,4.3,107.36,82.51,894.09
427.66,70.61,5.25,107.67,83.79,891.43
428.68,136.01,5.14,107.71,80.43,891.02
429.7,68,5.35,107.71,86.05,893.27
430.72,44.77,3.88,107.63,84.92,897.78
431.74,156,11.59,107.75,79.36,891.64
432.78,267.42,9.34,107.86,83.45,894.3
433.8,141.14,16.89,107.82,80.25,891.84
434.82,122.4,9.02,107.86,84.98,894.3
435.86,176.72,14.06,107.86,84.89,895.94
436.88,108,14.32,107.86,84.4,897.99
437.9,114.75,10.86,107.86,85.44,899.01
438.92,174.86,2.68,107.94,93.64,894.71
439.96,178.29,10.81,107.97,90.99,892.25
441,178.14,9.5,107.9,88.18,891.23
442.02,126.55,8.76,107.9,83.57,885.91
443.06,176.72,13.59,107.82,86.23,887.75
444.08,159.65,6.71,107.78,86.02,882.63
445.15,118.16,7.14,109.19,73.2,894.69
446.17,159.25,4.42,109.19,76.25,896.12
447.22,105.54,2.44,109.19,77.96,893.46
448.28,152.03,6.61,109.31,74.88,891.62
449.29,166.49,2.4,109.35,65.21,894.48
450.33,100.86,4.33,109.42,71.65,895.71
451.37,162.25,4.15,109.5,67.22,892.85
452.39,193.52,6.88,109.5,69.23,893.87
453.48,187.62,9.6,109.46,65.76,893.47
454.52,93.3,6.08,109.46,69.94,890.8
455.53,140.87,5.51,109.46,69.72,888.55
456.61,148.85,12.19,109.54,68.14,895.92
457.67,140.78,6.17,109.61,66.89,894.9
458.72,271.55,16.32,109.61,65.09,895.3
459.78,131.01,9.29,109.69,67.59,893.46
460.87,207.35,8.24,109.65,70.42,891.42
461.89,228.96,17.59,109.69,65.63,894.89
462.94,190.08,11.57,109.77,64.32,890.6
463.98,138.24,10.17,109.77,68.62,890.18
465.02,95.69,4.68,109.77,69.36,891
466.05,50.43,11.31,109.73,79.73,892.03
467.09,65.47,13.29,109.73,78.33,894.49
468.11,53.08,13.02,109.92,84.34,889.99
469.16,46.07,10.52,110.3,84.15,891.22
470.18,126.31,11.4,110.22,81.35,890.2
471.22,70.38,16.58,110.41,81.56,891.83
472.24,56.35,10.43,110.57,87.11,889.99
473.25,40.24,4.59,110.22,135.9,877.63
474.27,61.04,10.39,110.68,82.99,878.25
475.31,71.72,10.56,110.91,103.56,882.75
476.33,60.04,12.89,110.83,91.17,882.95
477.34,59.07,2.13,110.99,109.9,879.06
478.38,98.2,8.9,110.83,91.9,882.54
479.4,83.18,6.7,110.91,54.19,885.65
480.41,54.84,11.66,110.8,78.78,896.51
481.45,67.85,13.16,110.83,85.56,898.14
482.47,79.62,15.66,110.8,81.44,898.76
483.49,60.04,12.28,110.8,81.99,899.58
484.5,61.04,17.11,110.91,75.46,897.12
485.52,50.17,14.96,111.21,76.44,898.14
486.54,58.14,10.17,111.33,77.14,897.73
487.55,39.81,12.63,111.52,76.47,890.57
488.57,47.76,15.44,111.71,83.94,896.51
489.59,45.78,15.26,111.75,80.62,897.12
490.61,65.4,13.81,111.86,77.9,894.87
491.62,55.08,15.26,111.86,85.98,891.38
492.66,124.4,10.78,111.9,85.89,887.28
493.68,135.66,3.63,111.98,88.21,884.21
494.73,190.07,9.95,111.94,87.6,891.58
495.75,241.92,10.21,111.94,93.58,886.05
496.77,244.23,5.73,111.9,89.52,891.17
497.86,262.66,9.64,111.9,95.11,885.44
498.96,231.77,6.66,111.86,93.37,829.53
499.96,231.77,6.66,111.86,93.37,829.53
500.01,237.59,8.06,111.9,94.04,883.8
501.03,215.04,10.04,111.94,101.3,803.94
502.07,219.56,11.14,111.94,100.08,881.35
503.09,152.62,11.4,111.94,89.1,846.12
504.14,93.3,14.61,111.21,76.74,851.91
505.16,61.03,15.4,111.41,72.71,851.09
506.18,76.3,19.3,111.44,65.76,850.47
507.21,38.78,16.14,111.6,90.77,851.7
508.23,91.07,11.88,111.63,84,852.52
509.25,81.39,16.85,111.67,85.19,851.09
510.28,64.41,10.65,111.71,84.25,846.38
511.3,83.24,9.6,111.79,82.38,845.96
512.32,69.11,9.95,111.86,60.48,853.74
513.38,95.06,16.93,111.9,86.87,849.85
514.39,64.29,8.9,111.9,65.45,852.72
515.43,70.44,12.06,111.98,95.63,851.69
516.47,91.07,6.83,112.02,90.62,853.94
517.5,113.12,8.37,112.02,94.19,850.26
518.52,71.75,12.1,112.02,94.99,823.03
519.58,71.74,13.68,112.05,85.34,850.67
520.6,130.76,10.48,112.05,95.11,847.18
521.61,76.32,11.75,112.13,76.19,848
522.63,108.63,16.58,112.09,87.88,850.86
523.69,146.22,15,112.09,87.57,847.18
524.72,25.03,5.25,112.24,97.7,845.75
525.74,111.03,8.54,112.21,92.54,845.75
526.78,77.81,10.08,112.24,92.06,849.43
527.8,81.46,7.97,112.32,91.29,845.95
528.84,120.4,7.67,112.32,94.34,845.74
529.85,61.1,10.52,112.36,91.14,845.54
530.87,58.19,9.55,112.36,89.01,845.95
531.89,70.46,6.57,112.4,95.47,848.4
532.93,120.41,0.7,111.79,74.36,890.57
533.96,116.65,3.25,111.37,64.75,894.68
535,120.35,4.7,111.21,67.98,898.37
536.02,118.18,8.43,111.25,59.32,901.23
537.06,120.4,7.29,111.29,79.76,903.89
538.09,120.4,9.27,111.25,72.99,904.3
539.11,122.64,5.93,111.25,76.07,901.85
